News Title,News Description,Author Name,Date,Website Name,url
Machine learning-enabled multiscale modeling platform for damage sensing digital twin in piezoelectric composite structures,"Nondestructive evaluation (NDE) of aerospace structures plays a crucial role in their successful operation under harsh environments. Most NDE methods, however, lack real-time in-situ predictive capabilities of evolving damage and are conducted in a post-mortem manner. This paper proposes a damage-sensing digital twin (DT) for piezoelectric composite structures incorporating microscale morphology and mechanisms into structural damage to address this shortcoming. The DT framework consists of a two-step computational process integrating multiscale-multiphysics modeling with machine learning (ML) tools to detect damage progression in the piezoelectric composite structure using electrical signal measurements at a few surface points. A parametrically upscaled coupled constitutive damage mechanics (PUCCDM) model is developed for this DT with the representation of microstructural morphology and mechanisms in macroscopic constitutive relations. Artificial neural network operates on micro-electro-mechanical data to derive PUCCDM constitutive coefficients as functions of underlying representative aggregated microstructural parameters (RAMPs). The PUCCDM model-simulated macroscopic electromechanical and damage fields, in conjunction with RAMPs, provide a comprehensive time-dependent dataset for a convolutional long-short-term memory (ConvLSTM) network to learn microstructure-dependent electrical and damage field correlations. The DT is consequently used to successfully predict location-specific damage from electrical signals at a limited number of sensors.","['Somnath Ghosh', 'Saikat Dan', 'Preetam Tarafder']",24-Feb-25,Nature,https://www.nature.com/articles/s41598-025-91196-5
Influence of behavior of a coupled dynamic system on an energy harvester,"This paper examines the behavior of a two-degrees-of-freedom (2DOF) kinematic system of the spring pendulum coupled to a harvester. The harvester is the electromagnetic device that is reliant on a magnet’s oscillation within a coil. Using the Lagrangian, the governing equations of motion (GEOM) are generated. The multiple-time-scales approach (MTSA) is employed to provide the analytical solutions (AS) for these equations up the third-order of approximations. To ascertain these solutions, we juxtapose them with numerical ones. The modulation equations are set up, and the principal external resonance instances are investigated concurrently upon the solvability constraints. A schematic representation of the dynamical system’s behavior is provided by the time histories, phase portraits, and nonlinear stability analysis of the modulation equations. Moreover, the time histories of the electromagnetic harvester’s current, power, and voltage are shown to illustrate how various parameters impact the generation of electrical energy. According to the Routh-Hurwitz stability criteria (RHSC), stability/instability regions exist wherein the behavior of the examined system is stable over a large range of applied parameters. In addition, stable/unstable fixed points within the scenario of steady-state are distinguished. This work’s relevance is confined to the practical implementations of its findings in daily life, including energy sources for the industrial, electronic and medical devices.","['Asmaa Amer', 'W. Zhang', 'T. S. Amer', 'H. Li']",21-Feb-25,Nature,https://www.nature.com/articles/s41598-024-83651-6
Analysis of gear transmission error in helical gear using enhanced tooth contact analysis model considering measured tooth profile errors,"A loaded tooth contact analysis model was developed to assess transmission error by incorporating profile errors in a helical gear pair. Profile errors for all teeth of both the pinion and wheel were measured, and the mean profile error was computed and integrated into the model. To validate the model, static transmission error (STE) was measured experimentally. The experimental results, particularly the peak-to-peak static transmission error (PPSTE) in relation to torque and tooth-meshing harmonics, demonstrated consistency with the simulation outcomes. Subsequently, the model was employed to investigate the impact of surface waviness (SW) on the STE, focusing on SW amplitude, spatial frequency, and initial phase. It was observed that both the amplitude and spatial frequency of the SW influenced the PPSTE and the harmonic characteristics of the transmission error, while the initial phase of the waviness had no significant effect.","['Dongu Im', 'Woo-Jin Chung', 'Hyunggon Lee', 'You-Jin Lee', 'Hyunjoon Sung', 'Minwook Lee', 'Young-Jun Park']",18-Feb-25,Nature,https://www.nature.com/articles/s41598-025-90010-6
Compact circularly polarized dual band antenna with modified patch for ISM and V2X communication systems,"This paper introduces a novel design and development of a compact circularly polarized antenna operating at two distinct frequency bands, 2.5 GHz and 6 GHz. The innovation lies in using a modified circular patch and a uniquely designed feeding element, which optimize circular polarization performance while maintaining a low-profile form factor. Fabricated on an FR4 substrate with an overall thickness of 1.6 mm and dimensions of 62 mm × 62 mm × 1.6 mm, corresponding to approximately 0.5167λ × 0.5167λ × 0.0133λ at 2.5 GHz, the antenna achieves a compact configuration well-suited for space-constrained applications. Extensive simulations and measurements show close agreement, with axial ratios below 3 dB across both operational bands, ensuring effective circular polarization. The antenna achieves peak gains of 1.8 dBi at 2.5 GHz and 3.8 dBi at 6 GHz, highlighting its ability to combine compactness, dual-band functionality, and strong radiation characteristics. This proposed design provides a groundbreaking solution for Industrial, Scientific, and Medical (ISM) and Vehicle-to-Everything (V2X) communication systems, addressing the increasing demand for efficient, dual-band, and space-saving wireless communication solutions.","['E. D. Kanmani Ruby', 'T. Sathiyapriya', 'P. Sundaravadivel', 'D. Rajesh Kumar', 'Om Prakash Kumar', 'Shweta Vincent', 'Pallavi R. Mane']",18-Feb-25,Nature,https://www.nature.com/articles/s41598-025-89937-7
Innovative adaptive edge detection for noisy images using wavelet and Gaussian method,"Edge detection is a crucial task in image processing and remote sensing, particularly for accurately identifying and separating shapes in noisy digital images. To enhance robustness and detail in edge detection, this study presents an innovative edge detection method, which integrates a denoising module and an adaptive thresholding technique to effectively address challenges associated with Gaussian noise in images. The proposed denoising module employs wavelet and Gaussian denoising functions to decompose, filter, and reconstruct the image, thereby reducing the impact of noise and enhancing image quality. For edge detection, an adaptive thresholding method based on a modified OTSU method is utilized. Comprehensive experiments validate the proposed framework by comparing detected edges against ground truth across various levels of Gaussian noise (0.1%, 10%, 20%, and 30%). The median thresholding function is chosen for its stability and convenience, while hard thresholding is avoided due to its tendency to introduce artifacts. Objective metrics, including Mean Squared Error (MSE), Accuracy, and Peak Signal-to-Noise Ratio (PSNR), are employed for evaluation. Comparative results indicate that the proposed method outperforms traditional methods, such as Canny and Roberts, showcasing its effectiveness in edge detection.","['Huanxu Li', 'Keke Xu']",18-Feb-25,Nature,https://www.nature.com/articles/s41598-025-86860-9
Parallel robotic automated docking method for realizing space segment assembly,"Assembling large, heavy space segments presents a significant challenge in aerospace engine production. Rigid collisions often occur during the docking process, impacting the precision and quality of engine assembly. Traditional manual docking depends on workers’ experience to prevent collisions, but it is labor-intensive and low in productivity, making it impractical. Parallel robots, known for their high precision and heavy load capacity, are widely used in precision assembly under heavy load conditions. Therefore, automated docking methods using parallel robots capable of avoiding rigid collisions have emerged as an excellent solution to these issues. This paper presents a framework for easy implementation in practical production. The Stewart parallel robot facilitates automatic docking of heavy aerospace components without rigid collisions. Fractional-order variable damping admittance control is proposed, allowing the robot to dynamically adjust the assembly trajectory based on real-time interaction forces, thus preventing rigid collisions during docking. Additionally, adaptive robust sliding mode control is developed, enhancing the robot’s tracking accuracy for desired poses and making it suitable for high-precision assembly.","['Deyuan Sun', 'Ruihan Xu', 'Junyi Wang', 'Zhigang Xu', 'Runan Cao']",17-Feb-25,Nature,https://www.nature.com/articles/s41598-025-89777-5
Reservoir computing-based signal compensation for laser inter-satellite communications,"We introduce the reservoir computing (RC) concept into the laser processing unit for the scenario of the inter-satellite communication to mitigate the impacts from the multi-distortion sources, enabling significantly improving the quality of the coherent signals through the intelligent approach in outer space. We carry out the experimental investigations to quantify the impacts from the Sun radiation, the Doppler frequency shift and the vibration on the transmitted quadrature-phase-shift-keying (QPSK) signals, and perform the signal compensation through only one RC module at the receiver end. A maximum 5.59dB signal-to-noise ratio (SNR) improvement has been achieved in the experiment when the three distortion-sources applied simultaneously, confirming the compensation capability for the laser inter-satellite communication.","['Feng Wen', 'Juan Yong', 'Jian-Jun Li', 'Shui-Qiu Diao']",15-Feb-25,Nature,https://www.nature.com/articles/s41598-025-90321-8
Experimental system and method of aerobic thermal environment simulation based on laser heating,"Considering the superior luminous intensity characteristics of lasers, a thermal simulation platform employing laser-induced heating in an aerobic environment was developed. Achieving a uniformly distributed flat-topped square laser beam output was facilitated through optical fibre bundling techniques, while precise control over laser power output was attained through current modulation. Utilising the aforementioned system, thermal shock simulation experiments were conducted in an aerobic environment, subjecting two types of high-temperature-resistant composites, namely C/C and C/SiC, to temperatures up to 1800 °C. These composites were lightweight, heat-resistant materials designed for hypersonic vehicle applications. The results show that the system and method can be used to simulate high temperatures, rapid temperature increases, and thermal shocks on C/C composite materials, with minimal variation in the coupling coefficient under aerobic conditions. The system and method can also provide key technology support for thermal-force-oxygen coupling testing of high temperature resistant materials.","['Jiawei Wang', 'Bin Li', 'Shengwu Li', 'Sihao Gao', 'Yanlong Shen', 'Dahui Wang', 'Pengling Yang']",15-Jul-24,Nature,https://www.nature.com/articles/s41598-024-67426-7
Sunlight-powered sustained flight of an ultralight micro aerial vehicle,"Limited flight duration is a considerable obstacle to the widespread application of micro aerial vehicles (MAVs)1,2,3, especially for ultralightweight MAVs weighing less than 10 g, which, in general, have a flight endurance of no more than 10 min (refs. 1,4). Sunlight power5,6,7 is a potential alternative to improve the endurance of ultralight MAVs, but owing to the restricted payload capacity of the vehicle and low lift-to-power efficiency of traditional propulsion systems, previous studies have not achieved untethered sustained flight of MAVs fully powered by natural sunlight8,9. Here, to address these challenges, we introduce the CoulombFly, an electrostatic flyer consisting of an electrostatic-driven propulsion system with a high lift-to-power efficiency of 30.7 g W−1 and an ultralight kilovolt power system with a low power consumption of 0.568 W, to realize solar-powered sustained flight of an MAV under natural sunlight conditions (920 W m−2). The vehicle’s total mass is only 4.21 g, within 1/600 of the existing lightest sunlight-powered aerial vehicle6.","['Wei Shen', 'Jinzhe Peng', 'Rui Ma', 'Jiaqing Wu', 'Jingyi Li', 'Zhiwei Liu', 'Jiaming Leng', 'Xiaojun Yan', 'Mingjing Qi']",17-Jul-24,Nature,https://www.nature.com/articles/s41586-024-07609-4
Exploring technology acceptance of flight simulation training devices and augmented reality in general aviation pilot training,"This study investigates pilot perspectives on the use of Flight Simulation Training Devices (FSTDs) in Canada’s general aviation (GA) sector, which, despite their longstanding adoption, remain underutilized. It also examines pilot perspectives on the potential of Augmented Reality (AR) technology as an assistive tool in GA pilot training. An online survey gathered views on FSTD use for routine flight operations and emergency training, as well as AR’s potential to support learning. Responses from 197 participants show a strong interest (average rating above 4 on a 5-point scale) in incorporating FSTDs and AR technology into the GA pilot training framework. The findings suggest that immersive, technology-driven training environments have the potential to better address modern aviation demands and enhance pilot proficiency.","['Syed A. Q. Rizvi', 'Umair Rehman', 'Shi Cao', 'Bradley Moncion']",17-Jan-25,Nature,https://www.nature.com/articles/s41598-025-85448-7
